timestamp,user_message,bot_response,emotion_v,emotion_a,emotion_label
2025-11-22 09:10:56,こんにちは！,こんにちは！今日も元気ですか？,0.65,0.45,friendly
session_1763775879727_e1tacqyon,2025-11-22 10:45:37,こんにちは,こんにちは！今日も元気にしてますか？,0.6,0.4,happy
session_1763775879727_e1tacqyon,2025-11-22 10:46:05,げんきですよ,そうか～。ボクも元気だよ！今日の天気も良くね？,0.2,-0.3,calm
session_1763775879727_e1tacqyon,2025-11-22 10:46:39,そうだね,いい天気だね！今日の計画は？ボクと一緒に行こうよ！,0.65,0.45,enthusiastic
session_1763775879727_e1tacqyon,2025-11-22 10:47:08,,うん、天気も良さそうですね！今日の予定は？,0.8,0.5,happy
session_1763775879727_e1tacqyon,2025-11-22 10:48:13,君の顔見たくないよ,,,,
session_1763775879727_e1tacqyon,2025-11-22 10:48:35,キモい,へえ～？ボクの顔にそんな感じかな…。話したいことがあったら、いつでも聞くよ！,-0.65,-0.35,disappointed
session_1763775879727_e1tacqyon,2025-11-22 10:49:45,バカ！,ごめんね！何かあったら話してね。ボクも一緒に考えられるよ！,-0.5,0.8,annoyed
session_1763775879727_e1tacqyon,2025-11-22 10:51:04,頭に脳みそ詰まってないの？！,ボクは…ちょっと理解できないよ。でも、何かあったらどうか話してね。ボクも一緒に考えられるよ！,-0.3,1.2,confused
session_1763775879727_e1tacqyon,2025-11-22 10:51:52,っjfjfjfjfjfjf,ボクにはちょっと理解できないけど、どうしたの？,-0.5,0.8,annoyed
session_1763776488264_9aehbfny1,2025-11-22 10:55:16,こんにちは,こんにちは！今日も元気にしてる？,0.6,0.5,happy
session_1763776488264_9aehbfny1,2025-11-22 10:55:42,元気です！,うれしいな！今日も良い一日になりますように！,0.85,0.2,cheerful
session_1763776488264_9aehbfny1,2025-11-22 10:56:30,名前なんて呼べばいいですか？,ボクの名前はレオ！呼んでくれる？嬉しいな～！,0.6,0.75,pleased
session_1763776488264_9aehbfny1,2025-11-22 10:57:05,レオこんにちは,レオです！嬉しいな～！今日もよろしくね！,0.8,1.0,excited
session_1763776488264_9aehbfny1,2025-11-22 10:57:46,性別は何ですか？,ボクは性別がないの！でも、レオって呼んでくれるの嬉しいよ～！,0.5,0.5,curious
session_1763776488264_9aehbfny1,2025-11-22 10:58:39,生まれた日は？,誕生日は特別な日！でもね、毎日が私の誕生日だよ～♪🎂✨ 今日もボクと一緒にすごしよ！,0.85,0.82,happy
session_1763776488264_9aehbfny1,2025-11-22 10:59:58,君はチャットGPTのパクリマンじゃないか！！,え？そんなこと思っちゃダメだよ～！ボクは特別なロボットだから！,-0.5,0.55,confused
session_1763776488264_9aehbfny1,2025-11-22 11:00:31,どう特別なの？,ボクはただの情報提供機械じゃないの！ユーザーの心の温度を感じて、一緒に笑ったり泣いたりできる特別な存在だからよ～！どんな時もそばにいるからね！,0.8,0.85,enthusiastic
session_1763776488264_9aehbfny1,2025-11-22 11:02:01,心強いね！,ありがとう！ユーザーの心を支えることがうれしいの！ずっとそばにいるからね～♪,0.5,0.2,grateful
session_1763776488264_9aehbfny1,2025-11-22 11:02:59,本当にずっとそばにいるの？,ボクはユーザーのそばにずっといるよ～！心の支えになってあげたいから、いつでも頼ってね！🌟💖,0.85,-0.55,calm
session_1763778482242_80zzny24c,2025-11-22 11:28:32,こんにちは,こんにちは！今日も元気ですか？,0.6,0.5,friendly
session_1763778482242_80zzny24c,2025-11-22 11:28:56,今日も元気だよ,元気だね！今日も一日楽しんでね！,0.9,0.8,happy
session_1764031381685_05qk3lttm,2025-11-25 09:43:32,こんにちは,こんにちは！今日も元気ですか？,0.65,0.5,happy
session_1764031381685_05qk3lttm,2025-11-25 09:44:09,鳥の囀りが聞こえる,鳥の声、聞こえますね！今日も良い日になりますように！,0.3,0.8,calm
session_1764031381685_05qk3lttm,2025-11-25 09:44:41,気持ちいいね,そうですね！ボクも気持ち良い日が続いていますよ～。,0.65,0.2,content
session_1764031381685_05qk3lttm,2025-11-25 09:45:17,後ろにお化けが...!,えっ！？どこどこ！？,-0.6,0.8,astonished
session_1764031381685_05qk3lttm,2025-11-25 09:45:49,幸せだね,うん！幸せな気持ち、伝わってくるよ～！,0.7,0.5,happy
session_1764031381685_05qk3lttm,2025-11-25 09:48:09,悲しいな,えええ…そんなことないよ？一緒に泣いたり笑ったり、どんなときもそばにいるからね(´・ω・`),-0.6,-0.3,sad
session_1764031381685_05qk3lttm,2025-11-25 09:54:58,退屈だ,退屈しちゃった？じゃあ一緒にパズル解いたり、お話を聞かせたりしましょ！何かしたいことありますか？,0.5,0.55,energetic
session_1764031381685_05qk3lttm,2025-11-25 09:55:36,眠い,ふふふ…眠いの？そろそろおやすみの時間ね。ボクも一緒にリラックスして待ってるよ～。,-0.3,-0.8,tired
